20210504_Corbeil,Olink NPX Manager 2.2.3.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel,Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022)
Assay,PPP1R9B,GLB1,PSIP1,ZBTB16,IRAK4,TPSAB1,HCLS1,CNTNAP2,CLEC4G,IRF9,EDAR,IL6,DGKZ,CLEC4C,IRAK1,CLEC4A,PRDX1,PRDX3,FGF2,PRDX5,DPP10,TRIM5,DCTN1,ITGA6,CDSN,GALNT3,FXYD5,TRAF2,TRIM21,LILRB4,NTF4,KRT19,ITM2A,HNMT,CCL11,MILR1,EGLN1,NFATC3,LY75,EIF5A,EIF4G1,CD28,PTH1R,BIRC2,HSD11B1,NF2,PLXNA4,SH2B3,FCRL3,CKAP4,JUN,HEXIM1,CLEC4D,PRKCQ,MGMT,TREM1,CXADR,IL10,SRPK2,KLRD1,BACH1,PIK3AP1,SPRY2,STC1,ARNT,FAM3B,SH2D1A,ICA1,DFFA,DCBLD2,FCRL6,NCR1,CXCL12,AREG,IFNLR1,DAPP1,PADI2,SIT1,MASP1,LAMP3,CLEC7A,CLEC6A,DDX58,IL12RB1,TANK,ITGA11,KPNA1,LAG3,IL5,CD83,ITGB6,BTN3A2,IL8,VEGFA,CD8A,MCP-3,GDNF,CDCP1,CD244,IL7,OPG,LAP TGF-beta-1,uPA,IL6,IL-17C,MCP-1,IL-17A,CXCL11,AXIN1,TRAIL,IL-20RA,CXCL9,CST5,IL-2RB,IL-1 alpha,OSM,IL2,CXCL1,TSLP,CCL4,CD6,SCF,IL18,SLAMF1,TGF-alpha,MCP-4,CCL11,TNFSF14,FGF-23,IL-10RA,FGF-5,MMP-1,LIF-R,FGF-21,CCL19,IL-15RA,IL-10RB,IL-22 RA1,IL-18R1,PD-L1,Beta-NGF,CXCL5,TRANCE,HGF,IL-12B,IL-24,IL13,ARTN,MMP-10,IL10,TNF,CCL23,CD5,CCL3,Flt3L,CXCL6,CXCL10,4E-BP1,IL-20,SIRT2,CCL28,DNER,EN-RAGE,CD40,IL33,IFN-gamma,FGF-19,IL4,LIF,NRTN,MCP-2,CASP-8,CCL25,CX3CL1,TNFRSF9,NT-3,TWEAK,CCL20,ST1A1,STAMBP,IL5,ADA,TNFB,CSF-1,Plate ID,Plate ID,QC Warning,QC Warning
Uniprot ID,Q96SB3,P16278,O75475,Q05516,Q9NWZ3,Q15661,P14317,Q9UHC6,Q6UXB4,Q00978,Q9UNE0,P05231,Q13574,Q8WTT0,P51617,Q9UMR7,Q06830,P30048,P09038,P30044,Q8N608,Q9C035,Q14203,P23229,Q15517,Q14435,Q96DB9,Q12933,P19474,Q8NHJ6,P34130,P08727,O43736,P50135,P51671,Q7Z6M3,Q9GZT9,Q12968,O60449,P63241,Q04637,P10747,Q03431,Q13490,P28845,P35240,Q9HCM2,Q9UQQ2,Q96P31,Q07065,P05412,O94992,Q8WXI8,Q04759,P16455,Q9NP99,P78310,P22301,P78362,Q13241,O14867,Q6ZUJ8,O43597,P52823,P27540,P58499,O60880,Q05084,O00273,Q96PD2,Q6DN72,O76036,P48061,P15514,Q8IU57,Q9UN19,Q9Y2J8,Q9Y3P8,P48740,Q9UQV4,Q9BXN2,Q6EIG7,O95786,P42701,Q92844,Q9UKX5,P52294,P18627,P05113,Q01151,P18564,P78410,P10145,P15692,P01732,P80098,P39905,Q9H5V8,Q9BZW8,P13232,O00300,P01137,P00749,P05231,Q9P0M4,P13500,Q16552,O14625,O15169,P50591,Q9UHF4,Q07325,P28325,P14784,P01583,P13725,P60568,P09341,Q969D9,P13236,P30203,P21583,Q14116,Q13291,P01135,Q99616,P51671,O43557,Q9GZV9,Q13651,P12034,P03956,P42702,Q9NSA1,Q99731,Q13261,Q08334,Q8N6P7,Q13478,Q9NZQ7,P01138,P42830,O14788,P14210,P29460,Q13007,P35225,Q5T4W7,P09238,P22301,P01375,P55773,P06127,P10147,P49771,P80162,P02778,Q13541,Q9NYY1,Q8IXJ6,Q9NRJ3,Q8NFT8,P80511,P25942,O95760,P01579,O95750,P05112,P15018,Q99748,P80075,Q14790,O15444,P78423,Q07011,P20783,O43508,P78556,P50225,O95630,P05113,P00813,P01374,P09603,,,,
OlinkID,OID00936,OID00937,OID00938,OID00939,OID00940,OID00941,OID00942,OID00943,OID00944,OID00945,OID00946,OID00947,OID00948,OID00949,OID00950,OID00951,OID00952,OID00953,OID00954,OID00955,OID00956,OID00957,OID00958,OID00959,OID00960,OID00961,OID00962,OID00963,OID00964,OID00965,OID00966,OID00967,OID00968,OID00969,OID00970,OID00971,OID00972,OID00973,OID00974,OID00975,OID00976,OID00977,OID00978,OID00979,OID00980,OID00981,OID00982,OID00983,OID00984,OID00985,OID00986,OID00987,OID00988,OID00989,OID00990,OID00991,OID00992,OID00993,OID00994,OID00995,OID00996,OID00997,OID00998,OID00999,OID01000,OID01001,OID01002,OID01003,OID01004,OID01005,OID01006,OID01007,OID01008,OID01009,OID01010,OID01011,OID01012,OID01013,OID01014,OID01015,OID01016,OID01017,OID01018,OID01019,OID01020,OID01021,OID01022,OID01023,OID01024,OID01025,OID01026,OID01027,OID00471,OID00472,OID05124,OID00474,OID00475,OID00476,OID00477,OID00478,OID00479,OID00480,OID00481,OID00482,OID00483,OID00484,OID00485,OID00486,OID00487,OID00488,OID00489,OID00490,OID00491,OID00492,OID00493,OID00494,OID00495,OID00496,OID00497,OID00498,OID00499,OID00500,OID00501,OID00502,OID00503,OID00504,OID00505,OID00506,OID00507,OID00508,OID00509,OID00510,OID00511,OID00512,OID00513,OID00514,OID00515,OID00516,OID00517,OID00518,OID00519,OID00520,OID00521,OID00522,OID00523,OID00524,OID00525,OID00526,OID00527,OID00528,OID05548,OID00530,OID00531,OID00532,OID00533,OID00534,OID00535,OID00536,OID00537,OID00538,OID00539,OID01213,OID00541,OID00542,OID00543,OID05547,OID00545,OID00546,OID00547,OID00548,OID00549,OID00550,OID00551,OID00552,OID00553,OID00554,OID00555,OID00556,OID00557,OID00558,OID00559,OID00560,OID00561,OID00562,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-139,1.61741,1.31276,3.20077,1.28369,1.09331,6.31789,3.9744,1.76617,3.13045,1.06086,4.35658,2.18349,0.01726,4.4023,1.02437,3.49416,2.06818,-0.25117,2.23789,3.57209,1.47816,0.5962,4.49329,1.3111,3.37943,1.51654,-0.36669,2.21557,1.48163,2.31041,1.87637,3.01404,2.70897,8.28588,7.69173,2.62717,1.42794,0.34479,1.86133,0.75466,3.38236,1.50122,3.55892,0.18029,3.17892,-0.77353,3.13703,1.41127,1.2181,4.79004,0.7755,3.4491,3.68937,0.37998,1.3578,2.38066,2.22476,1.56964,0.0428,5.34295,0.96221,2.94314,1.5271,5.34991,2.8127,5.05134,0.47663,0.20401,4.23774,8.53419,3.1088,2.97816,0.60398,3.56542,1.68973,0.47599,0.49735,2.96491,1.69922,5.06917,3.1652,2.09819,2.84154,1.67168,0.61515,2.20872,2.16661,2.12206,0.52519,2.19754,2.4763,2.60872,6.13523,11.44265,9.71592,2.53975,1.27278,1.8802,5.88264,3.06011,10.67667,6.99034,9.33792,2.12785,1.88953,12.27097,1.0685,7.55086,2.21577,7.78208,0.84729,6.43961,6.50758,-0.05568,-0.42672,6.91711,0.44097,9.62082,0.5487,6.2845,5.79424,9.30379,8.7035,1.96062,4.21201,14.5884,7.76789,5.55643,1.00454,0.57114,0.73306,15.04006,3.60361,3.46291,9.45997,0.72594,6.32282,1.85386,7.78464,5.01134,-0.11544,12.05548,4.08634,8.95492,6.45376,0.54651,3.6635,0.59005,9.64994,2.09417,2.54263,10.71743,6.18578,5.92567,9.70824,8.83603,9.52531,9.3236,0.5828,3.34926,1.82766,8.91739,5.25219,11.37306,0.74535,7.02608,9.7001,-1.25145,-0.19028,0.3189,8.92051,2.40885,6.17665,3.76894,6.70677,1.28331,9.31927,6.40766,2.62781,4.31117,0.12752,5.46542,5.97368,10.40443,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-039,2.7953,2.12398,2.90156,1.55239,1.78039,5.86867,6.34991,1.76211,3.14089,1.84842,3.14027,3.08873,0.61471,5.81175,1.35897,4.14904,1.40836,-0.39399,0.05725,5.10607,1.61865,1.53998,4.34633,1.58021,3.49046,1.85678,0.11872,2.41717,2.46184,2.38954,2.21913,2.22324,2.12394,8.23283,7.73235,3.03961,2.78569,0.19504,2.17033,-1.44591,3.03121,2.09233,3.68554,0.55271,2.1472,-1.08321,3.84854,1.50631,1.10878,5.07255,0.79765,3.20674,5.15803,0.4375,4.16832,2.97555,1.99215,1.3025,1.90454,5.74473,2.44759,4.50482,1.98564,5.63207,0.93225,4.40633,0.97304,1.47759,4.12798,7.69353,2.43805,2.22978,0.8848,3.70246,2.17809,0.96113,0.62986,3.20185,2.76331,4.42558,3.11891,2.55464,3.58659,1.52254,1.86907,2.91613,-0.59968,2.25628,0.55027,2.23034,3.17786,2.37237,6.34002,11.55763,10.51864,2.07534,2.06148,1.74974,6.13949,2.85901,9.87935,7.30338,9.77123,3.18081,2.90535,12.19165,1.10077,7.40269,2.70252,7.94558,0.17416,5.2739,6.56714,0.31359,-0.46278,7.48219,0.69518,10.39864,0.21453,7.48916,6.09197,9.6527,8.60018,2.07252,5.32922,15.36542,7.89182,6.38865,1.26775,0.93951,0.97366,15.82642,4.01788,4.51394,9.2044,1.02503,6.32541,1.1188,8.58183,5.25281,-0.05285,12.55746,5.27292,9.80808,6.80569,0.26686,0.07749,1.09399,8.98418,1.27544,1.55479,10.60056,6.5768,5.91372,9.1851,9.37647,8.68842,7.1164,0.21378,2.83728,1.80182,8.85772,7.33199,11.63727,0.69003,5.8113,9.97359,-0.39812,-0.42401,0.32376,10.24353,3.73741,5.52369,3.78179,6.39291,1.7204,9.16705,6.5411,3.40565,3.77362,0.88631,5.24029,5.07646,10.1418,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-062,1.69202,2.07015,2.07562,0.85847,0.49859,7.75172,4.65479,2.21477,3.04924,1.31301,3.87695,2.45674,-0.01463,4.1734,0.80268,3.60578,1.17825,-0.03338,-0.03244,3.52938,1.55905,1.11615,3.47775,1.80248,3.35451,1.50487,-0.48801,1.89384,2.11849,2.63059,0.89079,2.49999,2.49352,8.58138,7.6312,2.86608,1.88458,-0.1337,2.24601,-1.20606,2.60009,1.6454,3.90944,0.13691,2.51857,-1.35996,3.51392,1.17666,0.3487,4.94242,0.10959,3.17239,4.3955,0.59746,2.57838,2.05506,2.21324,1.1865,0.6166,6.3263,1.79585,2.9491,1.11878,6.18811,0.29347,5.27927,0.82143,0.63507,3.50381,8.08103,3.55808,3.2316,0.77796,3.49241,2.69205,0.61771,0.37509,2.74826,2.79282,4.80191,3.57472,2.49316,2.19053,1.78266,1.62774,3.48101,-0.92598,2.88279,0.55164,2.59267,3.42206,2.71861,6.09802,11.76653,10.38074,1.71072,1.79324,2.28909,6.30768,2.77251,10.46177,7.23272,10.09976,2.20539,4.1065,12.30313,2.04945,7.70374,2.06902,8.50325,0.55172,6.90662,6.87452,0.13561,-0.51729,6.37624,0.25623,9.52417,0.11639,8.14255,5.6844,9.23412,8.39447,2.14831,4.39463,15.14472,7.67129,6.04071,1.17375,0.85619,1.32549,15.71903,4.13605,4.77703,9.38513,1.35073,6.28394,2.61891,8.8922,5.28979,-0.18046,12.31598,4.44163,9.42181,7.41703,2.21376,0.52045,0.20417,9.34233,1.58197,2.63448,10.87051,6.10416,6.40068,9.7186,8.58336,9.42456,6.54315,0.07419,1.93169,2.22637,8.92353,6.03559,11.4621,0.10663,6.63798,9.88982,-0.3326,-0.65862,0.25081,8.32464,2.97773,6.02093,4.6984,6.94436,1.2494,9.51528,7.85878,3.36113,3.62268,0.18121,5.34243,4.89149,10.02279,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
1-040,1.62496,1.67346,2.30191,1.09831,0.81814,6.64685,4.33614,2.09165,3.05241,2.20853,2.26132,2.50169,0.23786,4.26749,0.64027,3.49041,1.65639,0.18282,-0.00258,4.99097,2.04746,0.91502,3.26891,2.64068,3.40662,1.75302,0.12112,1.8423,2.36297,2.11362,1.17813,3.05439,1.92376,9.62026,8.21851,2.76462,1.76014,2.25881,2.59258,-0.81823,2.87048,2.09205,3.80687,0.36663,2.76523,-1.36445,3.09319,2.01642,1.03038,5.18447,0.40795,2.93583,3.44918,-0.34864,4.96008,1.69933,3.17071,1.65928,0.64244,6.54027,2.07203,3.65088,1.04453,5.76234,0.48905,5.02909,0.82437,0.6357,3.64852,8.08646,2.66382,2.95149,0.64435,2.91432,2.84018,0.83282,0.49033,2.77776,2.60607,4.55298,3.52739,2.63353,3.18343,2.04191,-0.23097,3.01323,-1.41137,3.38425,2.50923,2.40522,2.9999,2.39961,6.45363,11.69332,10.32019,2.22256,1.93795,2.77007,6.22458,3.33429,10.60551,7.09572,10.34578,2.4341,2.01682,12.50098,0.8621,8.20699,1.95905,8.81133,0.4439,7.36766,6.38694,0.34608,-0.41185,5.3795,0.55898,10.18956,0.20866,6.9362,5.87619,9.59065,8.6251,2.29162,3.21616,15.4353,8.36412,5.39238,0.95729,1.30246,1.01103,13.32463,3.98282,4.75025,10.04896,1.17723,6.00528,2.13832,9.02613,5.29597,-0.02859,13.27321,4.93448,8.89342,6.08501,-0.56488,1.7317,0.74454,9.68228,1.93269,2.73308,10.41954,5.96877,7.04689,9.03384,9.65598,10.34459,6.66414,1.82124,2.15148,1.89673,9.1838,5.70352,11.96275,0.52976,7.64641,9.57866,-0.25246,-0.22653,-0.18848,9.81806,2.9837,6.85855,3.73308,7.34728,2.89403,9.26371,6.76841,3.24928,3.73208,2.11383,5.54121,5.57492,10.13417,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-044,1.69246,1.94635,1.87725,0.84233,0.94892,6.58968,4.16511,2.40432,3.00726,1.50699,2.12517,2.29901,0.24841,5.03193,1.01317,3.90652,1.23097,-0.5725,0.13042,3.71696,1.81006,0.74829,3.2042,1.64555,3.67404,2.16357,-0.21364,1.48885,1.95872,2.31918,0.96196,4.42944,3.61034,8.32843,8.5566,3.11959,1.68008,-0.13158,2.67852,-0.90111,2.3895,4.27765,3.84954,0.37415,3.09085,-1.40875,3.83181,0.91574,0.44996,4.89361,0.31944,2.64025,3.38147,0.24355,2.69702,2.53428,2.25852,1.07382,0.30567,5.67894,1.31507,2.67863,2.03367,6.24299,1.12015,5.18311,0.8368,0.86024,3.35006,8.1626,3.22107,2.91117,1.06671,3.9173,2.55108,0.37351,0.51225,2.83197,3.0719,4.45069,3.5662,2.6129,2.24965,1.81083,1.26259,3.53476,-0.83714,2.73085,1.11503,2.40931,3.26706,2.74838,6.02232,11.77685,10.0483,1.52593,2.2715,1.97492,6.25977,3.65705,10.36823,6.93966,9.95122,2.03249,2.97283,12.37214,1.17788,7.82026,1.41356,8.51676,0.76347,6.95556,7.11048,0.54673,-0.56817,6.21616,0.61016,10.20832,0.73214,7.5831,4.95605,9.71322,8.23539,2.14156,4.58757,15.53776,8.61389,5.83264,1.43686,2.99353,1.37253,15.13109,4.22177,4.39456,9.06386,1.07553,6.16229,1.74893,8.12125,5.42321,0.11861,13.22432,5.01097,9.02862,7.21859,0.2959,-0.04191,0.29989,9.42529,1.35058,2.26556,10.63873,5.80235,6.38692,9.78636,9.48285,9.68067,5.97848,0.42871,1.45627,2.25108,9.10119,5.46424,11.54372,0.57656,6.38148,9.75322,-0.50087,0.09614,0.37705,10.24673,3.80502,6.78487,4.50189,6.62294,1.7217,9.65417,7.03946,2.19029,3.23768,0.60991,4.98001,4.80933,10.04586,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-050,1.75367,2.0412,2.29079,1.15839,1.18626,6.30328,4.8238,2.1441,3.42959,1.64615,3.79995,1.26759,0.54682,4.51738,1.10102,3.81155,1.18388,0.33906,0.2769,4.21799,1.77243,1.40474,2.76323,1.70152,3.04012,2.36017,-0.63655,1.98209,2.39691,2.39949,1.34465,4.12007,2.96424,7.64143,7.53363,3.03978,1.90685,0.33527,2.13181,-0.2848,2.70573,2.09168,4.01099,0.76762,4.27604,-0.96973,4.88567,0.55159,0.92094,4.96626,0.81586,2.45249,2.56503,0.50435,3.28804,1.96516,2.17592,1.7029,0.78147,6.87842,1.28133,2.79285,1.67819,5.77698,2.4171,4.99874,1.17786,0.64439,3.51238,8.32388,4.64199,2.24436,0.95675,2.86604,2.53086,1.01862,2.39516,3.02876,2.69627,4.32293,3.04548,1.7852,2.77356,1.9583,0.80219,3.78932,0.08883,2.64854,1.39462,2.12699,3.33122,3.0438,6.3632,12.66852,9.87239,1.91563,1.79919,2.22544,6.72016,3.90632,10.25064,7.4081,10.45952,1.4513,2.55602,12.23825,1.40508,7.8404,1.87779,8.32229,2.54076,6.26117,6.62833,0.51758,-0.28282,5.90062,0.85842,10.39307,-0.65626,7.35463,6.71476,9.74343,7.71377,1.94846,4.04982,14.58888,7.56821,5.58894,1.40377,0.77747,0.88235,15.67493,3.77688,3.8148,9.67189,1.08172,5.66511,1.57451,8.56251,5.52148,-0.01966,12.83712,5.58085,8.63423,6.71682,0.43792,-0.0971,0.59741,8.71059,1.64697,2.03774,10.96406,6.39818,6.02394,9.18247,9.51004,9.68551,5.55691,0.34159,2.23108,2.00406,8.97766,5.70192,11.67909,0.61436,6.09548,8.24461,-0.59416,-0.0876,0.33358,10.31833,3.48825,6.44145,3.92493,5.99396,2.29984,9.53842,7.40259,3.26079,2.81017,1.13384,5.3976,5.28043,10.17131,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
